,Change In Price,Favorites,Retweets,Text,Negative,Neutral,Positive,Compound
2020-01-27,3.20599365234375,6544.6,814.0,"First two domes of SN1 are almost complete, Yes,Starship 9m test tank made 7.5 bar at room temp! Small leak at a weld doubler. Will be repaired &amp; retested at cryo. Standing down today due to strong upper level winds. Next launch opportunity is tomorrow at 9:28 a.m. EST, or 14:28 UTC.,RT Weather is 50% favorable for tomorrow’s launch of 60 Starlink satellites at 9:49 a.m. EST, 14:49 UTC. Webcast will go live ~15…",0.03,0.853,0.117,0.7959
2020-01-28,-0.31800079345703125,79576.5,6452.666666666668,"Chairs are underappreciated,The stars in Starship’s mirrored hull reflected, !,RT Who says Dragons aren’t real? Capture the excitement of a rocket launch and apply to tour and witness the next Already being done, Parent material strength roughly doubles, so weld strength is the only real question mark",0.0,0.813,0.187,0.8718
2020-01-29,1.05999755859375,35996.76923076924,4025.0,"Ok, not so bad, Who is hating on ISRU &amp; why? Doesn’t make sense.,A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago Tonnage delivered to orbit, normalized to LEO, would be interesting to see, If all goes well, Falcon 9 will achieve triple digits this year,RT Ms. Tree caught a fairing half – our third successful catch! Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – our 49th successful landing of an orbital class…,RT Liftoff! Ice, 8.5 bar,Liquid nitrogen cryogenic strength test underway ☃️ Matter is extremely fluffy!",0.028,0.715,0.257,0.9775
2020-01-30,1.6780014038085938,53946.16666666666,4608.0,"Exactly. Mars propellant production will combine atmospheric… This number won’t leave me alone! 🤣🤣,Just wrote a song called “Don’t doubt yer vibe”, we r smôl,RT Veritical video might be a sin... so consider me a sinner Is there such thing as too zoomed in? here’s a preview o…,",0.129,0.842,0.028,-0.5707
2020-01-31,2.113998413085937,53814.944444444445,5062.5,"RT With great pleasure, we bring to you Story Part 2!!! Thank you Elon for sharing with us. We can't wait t…, I appreciate the kind words!, Those old ladies are wise Meant to say other forms of “the cold”, not influenza There is considerable conflation of diagnosis &amp; contraction of “corona”. Actual virality is much low… I become Tiesto at night, 🤣🤣,Vibbbe wrote the lyrics &amp; performed the vocals!!,Be … cause … it’s … you, Doubt ur Vibe this song is hard,Hope you’re enjoying the simulation … cause … it’s … true, крипто,Releasing soon on Emo G Records!",0.043,0.716,0.241,0.9726
2020-02-03,21.261993408203125,13023.1875,879.625,"Definitely!, Yes,, First, we need to make it super safe &amp; easy to use, then determine g… Ok sure Btw, we recruit great engineers from almost anywhere in the world, so this… medically dangerous, but 5g is getting a bit too greedy with their spectrum land grab Intuitively, that should be straight… True, it has general applications be… It will ultimately be used to make up for entire lost sections of th… Wait until you see the next version vs what was presented last year. It’s *awesome*., Probably this summer, Yeah, it looks like a medieval torture device, but is nonetheless currently us… PyTorch is the most frequently used external tool set/library,Our NN is initially in Python for rapid iteration, then converted to C++/C/raw metal driver code for speed (importa… The profound impact of high bandwidth, high precision neural interfaces is underappreciated… Sorry!",0.091,0.773,0.137,0.681
2020-02-04,0.82000732421875,27572.0,1292.75,"Have you tried a hydrophobic spray?,This is mainly for staffing up 4 production shifts for 24/7 operations, but engineers, supervisors &amp; support person… career day at the Stargate building (Boca Chica Blvd, TX) this Thursday from 3pm to 9pm!,Going max hardcore on design/production Starship here in Boca. It’s awesome! Feels a bit like a Mars simulator.",0.0,0.79,0.21,0.9329
2020-02-05,-17.711990356445312,31192.272727272728,2537.5454545454545,"Starlink will be great for any sparsely populated areas with expensive or little to no connectivity!, 🤣🤣,Putting that on my LinkedIn for sure,8th hottest song on Soundcloud!! Small satellite operators can now book their ride to orbit online → send your resume to BuildStarship if you’re coming to the Starship career day in Boca Chica tomorrow,Starship Concerto in Zero G Yes, Yes,Giga Texas?, Uh oh",0.028,0.862,0.11,0.7753
2020-02-06,9.808013916015623,29874.44,2410.6,"True,Late night tweets … sigh, We saw them a lot launching from Kwajalein in the early days of SpaceX,New emoji! Last one comes with free phone hack. Great shot, Anything that doesn’t result in a smudgy image on lens cover glass. If you get a two par… It begins …, “The Nutcracker” is tho 🤣🤣, Haha, ,What if there was an AI programmed to want to pick as many strawberries as possible, and so it cultivated nothing b… Nice, Fine, but that was an easy one, New fins, Rococo basilisk,REALiTi made while u wait Making progress,All things in moderation, especially etymology,Essentially all quotes can be ascribed to Churchill,No matter how many times u get hangry, you always think ur anger is real — Plato,Guess he’s not left-handed 🤣, Tiny robots with lasers",0.058,0.838,0.103,0.4905
2020-02-07,3.503997802734375,7961.285714285716,417.28571428571433,"You’re welcome! Was a fun recruiting event. Great to see all the excitement about helping build Starships., Unmodified water tower machines do not work well for orbital rockets, as mass efficiency… No, they’re SN1. SN2 to follow shortly. Aiming to be a little better each time., Yes, we’re tuning weld parameters to reduce puckering &amp; building a heavy duty planisher to fl… That said, although substantial capital &amp; engineering is required to achieve extreme precision, marginal… This isn’t quite correct. An orbital rocket needs precision that’s 3X to 4X better than a water tower, s… started with a mariachi band party. Great vibes here in Boca Chica, Texas!",0.032,0.709,0.259,0.9816
